freq,par_mar,direct,cargo,loadstat,unit,rep_mar\TIME_PERIOD	2025-Q1 	2025-Q2 	2025-Q3 	2025-Q4 
Q,AE,IN,LCNT_20,EMPTY,TEU,BE	197 	20 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,BE_0BE003	197 	20 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,CY	0 	0 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,CY_0CYLMS	0 	0 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,DE	57 	175 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,DE_1	57 	175 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,DE_1DEBRV	0 	0 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,DE_1DEHAM	57 	175 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,EL	0 	6 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,EL_0GRPIR	0 	6 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES	162 	69 	1 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_1	0 	0 	0 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_1ESFRO	: 	0 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_1ESGIJ	: 	: 	0 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_1ESVGO	0 	0 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_2	162 	69 	1 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_2ESAGP	: 	0 	0 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_2ESALC	: 	: 	0 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_2ESALG	0 	0 	0 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_2ESBCN	19 	0 	0 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_2ESCAR	0 	: 	: 	: 
Q,AE,IN,LCNT_20,EMPTY,TEU,ES_2ESCAS	7 	0 	0 	: 
