freq,tra_meas,unit,geo\TIME_PERIOD	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FR_LD,THS_T,BE	60563 	59340 	62317 	67639 	66505 	68422 	76475 	78286 	89223 	92751 	101376 	102907 	91272 	100798 	102587 	101789 	104157 	111544 	112467.56 	114885.62 	117800.71 	122302.52 	125914.3 	126386.94 	136321.45 	131389 	126589.91 
A,FR_LD,THS_T,BE2	60563 	59340 	62317 	67639 	66505 	68422 	76475 	78286 	89223 	92751 	101376 	102907 	91272 	100798 	102587 	101789 	104157 	111544 	112467.56 	114885.62 	117800.71 	122302.52 	125914.3 	126386.94 	136321.45 	131389 	126589.91 
A,FR_LD,THS_T,BE21	45150 	43551 	43921 	48072 	48322 	49300 	58073 	60097 	65208 	67877 	74618 	75463 	68550 	76156 	79727 	79556 	83017 	90749 	93447.29 	95407.34 	98603.31 	102808.48 	105332.71 	104288.37 	109782.57 	123540.78 	119205.55 
A,FR_LD,THS_T,BE23	3729 	3946 	5336 	4391 	3987 	4291 	4848 	3544 	6028 	5015 	4912 	5786 	4899 	6773 	6964 	6697 	6663 	6685 	6571.83 	7383.03 	7864.59 	7390.23 	7671.18 	7103.17 	6904.52 	7848.22 	7384.37 
A,FR_LD,THS_T,BE25	11684 	11844 	13060 	15176 	14196 	14831 	13554 	14645 	17987 	19859 	21846 	21658 	17824 	17869 	15896 	15536 	14477 	14110 	12448.44 	12095.25 	11332.81 	12103.81 	12910.4 	14995.41 	19634.36 	: 	: 
A,FR_LD,THS_T,BG	: 	: 	: 	: 	8266 	8784 	8661 	9511 	10548 	11263 	9047 	9785 	10095 	11099 	12149 	13290 	16338 	14936 	14543.78 	15569.51 	16768.78 	14821.89 	16227.39 	12723.26 	13502.81 	13995.8 	16282.32 
A,FR_LD,THS_T,BG3	: 	: 	: 	: 	8266 	8784 	8661 	9511 	10548 	11263 	9047 	9785 	10095 	11099 	12149 	13290 	16338 	14936 	14543.78 	15569.51 	16768.78 	14821.89 	16227.39 	12723.26 	13502.81 	13995.8 	16282.32 
A,FR_LD,THS_T,BG33	: 	: 	: 	: 	4017 	4757 	4369 	4703 	5612 	5432 	3830 	4595 	5053 	5998 	6726 	6994 	9496 	8111 	7789.17 	7964.52 	8462.74 	7378.19 	7814.9 	6430.7 	7287.07 	7103.35 	9009.9 
A,FR_LD,THS_T,BG34	: 	: 	: 	: 	4248 	4026 	4292 	4808 	4937 	5831 	5216 	5190 	5042 	5101 	5423 	6296 	6842 	6825 	6754.61 	7604.98 	8306.05 	7443.7 	8412.49 	6292.56 	6215.75 	6892.45 	7272.42 
A,FR_LD,THS_T,CY	: 	: 	: 	: 	: 	1601 	1593 	1264 	1271 	1384 	1193 	1235 	987 	906 	1081 	1237 	2483 	2479 	2546.64 	3692.55 	2471.45 	1926.57 	1837.1 	2098.22 	1815.29 	2124.96 	1660.63 
A,FR_LD,THS_T,CY0	: 	: 	: 	: 	: 	1601 	1593 	1264 	1271 	1384 	1193 	1235 	987 	906 	1081 	1237 	2483 	2479 	2546.64 	3692.55 	2471.45 	1926.57 	1837.1 	2098.22 	1815.29 	2124.96 	1660.63 
A,FR_LD,THS_T,CY00	: 	: 	: 	: 	: 	1601 	1593 	1264 	1271 	1384 	1193 	1235 	987 	906 	1081 	1237 	2483 	2479 	2546.64 	3692.55 	2471.45 	1926.57 	1837.1 	2098.22 	1815.29 	2124.96 	1660.63 
A,FR_LD,THS_T,DE	71512 	70755 	76686 	88312 	86994 	89426 	93912 	101231 	110575 	118410 	120935 	121891 	100831 	102956 	113031 	116652 	122625 	125296 	122756.09 	121911.96 	120006.65 	117730.18 	117065.92 	114787.41 	119032.42 	110980.05 	106000.6 
A,FR_LD,THS_T,DE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.15 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DE11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.15 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DE5	11389 	11593 	12687 	16236 	17089 	17538 	18731 	20812 	22095 	25718 	27758 	29976 	25967 	28484 	33298 	35535 	33626 	33316 	30599.96 	31349.36 	30918.62 	31901.6 	29363.63 	28271.55 	28688.61 	26823.59 	24025.65 
A,FR_LD,THS_T,DE50	11389 	11593 	12687 	16236 	17089 	17538 	18731 	20812 	22095 	25718 	27758 	29976 	25967 	28484 	33298 	35535 	33626 	33316 	30599.96 	31349.36 	30918.62 	31901.6 	29363.63 	28271.55 	28688.61 	26823.59 	24025.65 
A,FR_LD,THS_T,DE6	25014 	25377 	28051 	30876 	31863 	33979 	36404 	39332 	44075 	46669 	47190 	48033 	40842 	42620 	47174 	48445 	52058 	54707 	52160.45 	50351.74 	49366.29 	47168.25 	49040.1 	47659.59 	46214.67 	42172.54 	41606.58 
A,FR_LD,THS_T,DE60	25014 	25377 	28051 	30876 	31863 	33979 	36404 	39332 	44075 	46669 	47190 	48033 	40842 	42620 	47174 	48445 	52058 	54707 	52160.45 	50351.74 	49366.29 	47168.25 	49040.1 	47659.59 	46214.67 	42172.54 	41606.58 
A,FR_LD,THS_T,DE7	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.29 	: 	0.8 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DE71	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.29 	: 	0.8 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DE8	10039 	8056 	8991 	9845 	10171 	9714 	10440 	10309 	11272 	12007 	11675 	12104 	10323 	10790 	10774 	10317 	12198 	12139 	13185.15 	13167.07 	12288.98 	12606.91 	12864.53 	13354.78 	14114.56 	13093.92 	12760.73 
A,FR_LD,THS_T,DE80	10039 	8056 	8991 	9845 	10171 	9714 	10440 	10309 	11272 	12007 	11675 	12104 	10323 	10790 	10774 	10317 	12198 	12139 	13185.15 	13167.07 	12288.98 	12606.91 	12864.53 	13354.78 	14114.56 	13093.92 	12760.73 
A,FR_LD,THS_T,DE9	12085 	13351 	15162 	17505 	13879 	13811 	14292 	16184 	17563 	17585 	16449 	13917 	10398 	6664 	6852 	7021 	8406 	8837 	11246.33 	10524.69 	11725 	11421.87 	11045.43 	10726.17 	13593.94 	12478.69 	12075.24 
A,FR_LD,THS_T,DE91	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.32 
A,FR_LD,THS_T,DE92	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DE93	1528 	1622 	1768 	1773 	1711 	1734 	2018 	2354 	2570 	2751 	2893 	2713 	2692 	3198 	3074 	3007 	2944 	3037 	3134.92 	3092.09 	3183.04 	3141.89 	3177.66 	2861.97 	3004.33 	2638.21 	2653 
A,FR_LD,THS_T,DE94	10557 	11729 	13394 	15732 	12167 	12077 	12274 	13830 	14993 	14834 	13556 	11204 	7706 	3467 	3778 	4014 	5462 	5800 	8111.41 	7432.6 	8540.56 	8279.97 	7867.78 	7864.2 	10589.61 	9840.49 	9421.92 
A,FR_LD,THS_T,DEA	: 	: 	: 	1095 	1285 	1808 	1240 	1363 	1351 	1338 	1547 	1578 	: 	877 	540 	590 	809 	951 	1054.42 	1839.29 	668.65 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DEA1	: 	: 	: 	1095 	1285 	1808 	1240 	1363 	1351 	1338 	1547 	1578 	: 	877 	540 	590 	795 	919 	1034.82 	1824.89 	666.66 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DEA2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	31 	19.61 	13.2 	0.85 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DEA3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	1.2 	1.15 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DEB	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 	8 	2.33 	6.07 	16.86 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DEB1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 	8 	2.33 	6.07 	16.86 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,DEF	12985 	12379 	11794 	12755 	12708 	12575 	12805 	13230 	14219 	15091 	16316 	16284 	13302 	13521 	14393 	14745 	14853 	14796 	13942.89 	14176.53 	14982.25 	14546.06 	14747.89 	14772.54 	16418.83 	16262.92 	15319.16 
A,FR_LD,THS_T,DEF0	12985 	12379 	11794 	12755 	12708 	12575 	12805 	13230 	14219 	15091 	16316 	16284 	13302 	13521 	14393 	14745 	14853 	14796 	13942.89 	14176.53 	14982.25 	14546.06 	14747.89 	14772.54 	16418.83 	16262.92 	15319.16 
A,FR_LD,THS_T,DEZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	655 	544 	562.28 	497.21 	39.05 	85.5 	4.34 	2.77 	1.82 	148.39 	213.23 
A,FR_LD,THS_T,DEZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	655 	544 	562.28 	497.21 	39.05 	85.5 	4.34 	2.77 	1.82 	148.39 	213.23 
A,FR_LD,THS_T,DK	45500 	39406 	35955 	37004 	36442 	38666 	40865 	40992 	41940 	43503 	44114 	41805 	36556 	35772 	36348 	34408 	33601 	31477 	35698.5 	35239.42 	35076.72 	34177.45 	33539.25 	32175.79 	34261.37 	32468.41 	30917.96 
A,FR_LD,THS_T,DK0	45500 	39406 	35955 	37004 	36442 	38666 	40865 	40992 	41940 	43503 	44114 	41805 	36556 	35772 	36348 	34408 	33601 	31477 	35698.5 	35239.42 	35076.72 	34177.45 	33539.25 	32175.79 	34261.37 	32468.41 	30917.96 
A,FR_LD,THS_T,DK01	5658 	6665 	5596 	5140 	4588 	4309 	4633 	4355 	4955 	5159 	5415 	5291 	4344 	4492 	4507 	4560 	4437 	4593 	4803.05 	5170.52 	5421.14 	5254.55 	5344.37 	4960.85 	5184.21 	5238.75 	5150.85 
A,FR_LD,THS_T,DK02	11948 	8855 	7327 	7816 	7482 	7928 	8319 	9207 	8713 	9457 	9985 	9305 	8328 	8542 	8273 	8444 	8734 	8875 	12305.21 	12163.32 	11370.28 	11436.88 	10672.37 	11319.34 	12200.95 	11725.47 	10414.36 
A,FR_LD,THS_T,DK03	20261 	16333 	15510 	16765 	16542 	18843 	20169 	19257 	19337 	19320 	19019 	17494 	16075 	14625 	15212 	13692 	13098 	10776 	10931.35 	9908.07 	9754.34 	9521.17 	9216.6 	7241.73 	8029.3 	7138.94 	7287.3 
A,FR_LD,THS_T,DK04	3826 	3785 	3683 	3705 	4011 	3684 	3794 	4077 	4365 	4692 	4894 	5334 	4381 	4722 	4828 	4227 	3859 	3461 	3652.65 	4085.95 	4274.67 	3990.8 	4153.59 	4571.24 	4942.15 	5111.87 	5043.79 
A,FR_LD,THS_T,DK05	3807 	3768 	3838 	3578 	3819 	3902 	3950 	4096 	4569 	4874 	4801 	4382 	3429 	3391 	3527 	3486 	3474 	3772 	4006.25 	3911.55 	4256.3 	3974.05 	4152.33 	4082.63 	3904.76 	3253.38 	3021.67 
A,FR_LD,THS_T,EE	: 	: 	: 	: 	: 	40957 	40694 	40767 	40894 	41568 	34786 	25718 	26626 	33257 	33897 	30101 	29889 	27753 	22602.01 	20624.65 	21433.49 	22675 	23495.83 	22935.65 	25479.38 	19201.37 	13148.91 
A,FR_LD,THS_T,EE0	: 	: 	: 	: 	: 	40957 	40694 	40767 	40894 	41568 	34786 	25718 	26626 	33257 	33897 	30101 	29889 	27753 	22602.01 	20624.65 	21433.49 	22675 	23495.83 	22935.65 	24361.12 	18030.23 	12315.04 
A,FR_LD,THS_T,EE00	: 	: 	: 	: 	: 	40957 	40694 	40767 	40894 	41568 	34786 	25718 	26626 	33257 	33897 	30101 	29889 	27753 	22602.01 	20624.65 	21433.49 	22675 	23495.83 	22935.65 	24361.12 	18030.23 	12315.04 
A,FR_LD,THS_T,EEZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1118.26 	1171.15 	833.87 
A,FR_LD,THS_T,EEZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1118.26 	1171.15 	833.87 
A,FR_LD,THS_T,EL	41783 	44313 	45199 	47806 	43106 	47058 	59688 	57071 	55038 	55537 	55159 	51891 	46336 	43787 	48033 	58213 	65288 	68289 	68527.57 	73774.42 	76758.8 	82706.56 	83664.03 	76699.64 	77613.1 	70825.35 	76690.52 
A,FR_LD,THS_T,EL3	12151 	12900 	13177 	16659 	15839 	17111 	19487 	18168 	18118 	18753 	18284 	18588 	16965 	15370 	19239 	27444 	32371 	34128 	32243.73 	35872.65 	37953.32 	41913.21 	43129.3 	40082.61 	37997.88 	32577.62 	34358.63 
A,FR_LD,THS_T,EL30	12151 	12900 	13177 	16659 	15839 	17111 	19487 	18168 	18118 	18753 	18284 	18588 	16965 	15370 	19239 	27444 	32371 	34128 	32243.73 	35872.65 	37953.32 	41913.21 	43129.3 	40082.61 	37997.88 	32577.62 	34358.63 
A,FR_LD,THS_T,EL4	4943 	5570 	5585 	4598 	3240 	3346 	3328 	3539 	3603 	3820 	3762 	3602 	2666 	2544 	2595 	2442 	2343 	2130 	2595.56 	2639.36 	2751.55 	4121.53 	4040.66 	3725.18 	4212.75 	4258.03 	5579.48 
A,FR_LD,THS_T,EL41	357 	577 	524 	116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	114.17 
A,FR_LD,THS_T,EL42	3821 	3931 	3949 	3585 	2657 	2656 	2719 	2740 	2965 	3111 	3062 	2954 	1912 	1894 	1760 	1590 	1489 	1410 	1473.9 	1523.48 	1520.93 	2844.68 	2643.56 	2535.45 	2831.23 	2783.22 	3698.64 
A,FR_LD,THS_T,EL43	765 	1062 	1112 	897 	583 	689 	610 	799 	638 	709 	701 	648 	754 	650 	834 	852 	854 	721 	1121.66 	1115.88 	1230.63 	1276.85 	1397.09 	1189.73 	1381.52 	1474.8 	1766.67 
A,FR_LD,THS_T,EL5	5094 	5009 	5110 	5348 	4697 	5017 	6093 	6354 	6680 	6844 	7152 	6302 	5699 	6379 	5889 	6129 	6379 	6898 	7903.71 	8345.09 	9219.58 	9011.33 	9284.64 	9110.9 	9804.83 	9078.2 	10097.78 
A,FR_LD,THS_T,EL51	1498 	1050 	1070 	1276 	898 	987 	871 	864 	837 	1019 	820 	928 	952 	985 	848 	731 	892 	852 	1609.29 	2051.7 	2220.82 	2153.63 	2218.78 	1899.17 	1805.37 	1882.21 	2343.86 
A,FR_LD,THS_T,EL52	3175 	3048 	3110 	3447 	3222 	2919 	3201 	3832 	4098 	3898 	4214 	3632 	3042 	3933 	3721 	4205 	4133 	4644 	4722.53 	4665.86 	5417.19 	5065.04 	5175.93 	5457.93 	5930.42 	5057.31 	5439.25 
A,FR_LD,THS_T,EL54	421 	911 	929 	625 	577 	1111 	2021 	1657 	1746 	1927 	2119 	1742 	1705 	1461 	1321 	1193 	1355 	1402 	1571.9 	1627.54 	1581.57 	1792.66 	1889.93 	1753.79 	2069.04 	2138.69 	2314.68 
A,FR_LD,THS_T,EL6	18967 	19808 	20510 	21200 	19330 	21584 	30779 	29010 	26637 	26120 	25961 	23399 	21006 	19494 	20309 	22197 	24196 	25133 	25784.57 	26917.32 	26834.36 	27660.48 	27209.43 	23780.95 	25597.63 	24911.5 	26558.6 
A,FR_LD,THS_T,EL61	4157 	3885 	3966 	4663 	5532 	6111 	6662 	6176 	6861 	7684 	7977 	6802 	6414 	4665 	3684 	4497 	5050 	4639 	4961.7 	5521.27 	5042.35 	5076.77 	5130.48 	4650.67 	4898.23 	4645.61 	4656.81 
A,FR_LD,THS_T,EL62	84 	507 	522 	120 	: 	: 	: 	: 	395 	289 	529 	318 	137 	108 	: 	: 	: 	: 	: 	: 	: 	: 	320.16 	221.79 	294.58 	379.01 	1013.61 
A,FR_LD,THS_T,EL63	2089 	2161 	2227 	1730 	1535 	3452 	10713 	7881 	4465 	4177 	4200 	4045 	3878 	3622 	3093 	2906 	2809 	2991 	2839.41 	3258.03 	2853.95 	3125.15 	3636.43 	3468.96 	4059.03 	3837.38 	3972.22 
A,FR_LD,THS_T,EL64	7477 	7276 	7695 	8750 	7920 	7120 	8093 	8597 	8767 	7773 	7293 	6339 	3396 	3590 	4952 	5177 	6303 	6897 	7194.51 	7550.05 	7337.33 	7661.99 	6405.02 	5126.85 	4323.85 	4621.73 	4959.51 
A,FR_LD,THS_T,EL65	5160 	5979 	6100 	5937 	4343 	4901 	5310 	6356 	6149 	6196 	5961 	5895 	7182 	7511 	8580 	9617 	10032 	10605 	10788.95 	10587.98 	11600.74 	11796.58 	11717.34 	10312.68 	12021.94 	11427.78 	11956.46 
A,FR_LD,THS_T,ELZ	627 	1026 	818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.03 
A,FR_LD,THS_T,ELZZ	627 	1026 	818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.03 
A,FR_LD,THS_T,ES	: 	: 	: 	77746 	85583 	84877 	93848 	103691 	109446 	115742 	120951 	126083 	114776 	124158 	145801 	157785 	155885 	174294 	191809.74 	197464.32 	211545.07 	211603.65 	195681.51 	190177.33 	196296.13 	190115.38 	184495.79 
A,FR_LD,THS_T,ES1	: 	: 	: 	8807 	9809 	10339 	10627 	10823 	11612 	12057 	12489 	12506 	11128 	13021 	13266 	14455 	16333 	15449 	26218.15 	26658.04 	27586.12 	27173.01 	18254.8 	18707.01 	18036.59 	20155.25 	21096.16 
A,FR_LD,THS_T,ES11	: 	: 	: 	5297 	5073 	5413 	5383 	5895 	6287 	6284 	6695 	6663 	5908 	6876 	7073 	7787 	8569 	7890 	17937.62 	18037.04 	18858.4 	18708.65 	9316.27 	8616.22 	8925.4 	10635.79 	10332.53 
A,FR_LD,THS_T,ES12	: 	: 	: 	2260 	3620 	3842 	4069 	3650 	3861 	4361 	4383 	4366 	3850 	4425 	4371 	4797 	5690 	5410 	6223.66 	6573.68 	6642.83 	6159.14 	6396.05 	7712.81 	6290.66 	6989.45 	8127.13 
A,FR_LD,THS_T,ES13	: 	: 	: 	1250 	1116 	1084 	1174 	1278 	1464 	1412 	1411 	1477 	1370 	1721 	1823 	1870 	2073 	2149 	2056.87 	2047.32 	2084.89 	2305.21 	2542.49 	2377.99 	2820.53 	2530.01 	2636.5 
A,FR_LD,THS_T,ES2	: 	: 	: 	7500 	8063 	7547 	8721 	9358 	9457 	10189 	10495 	11151 	9790 	10759 	11044 	10618 	10909 	12054 	12577.58 	12681.6 	12845.68 	13638.04 	13026.11 	10801.38 	11409.29 	11675.61 	11004.81 
A,FR_LD,THS_T,ES21	: 	: 	: 	7500 	8063 	7547 	8721 	9358 	9457 	10189 	10495 	11151 	9790 	10759 	11044 	10618 	10909 	12054 	12577.58 	12681.6 	12845.68 	13638.04 	13026.11 	10801.38 	11409.29 	11675.61 	11004.81 
A,FR_LD,THS_T,ES5	: 	: 	: 	27249 	31967 	31848 	35447 	39266 	40905 	43026 	46124 	49565 	49213 	52966 	57211 	59546 	60598 	66574 	71053.67 	71446.03 	78498 	75876.72 	76008.04 	73200.84 	79284.14 	75088.76 	69828.39 
A,FR_LD,THS_T,ES51	: 	: 	: 	14480 	14708 	12766 	15354 	17624 	17591 	19313 	22206 	22496 	21740 	22073 	24085 	24287 	24024 	28253 	27922.96 	27472.36 	32170.77 	33050.39 	32067.38 	29008.6 	33787.78 	33667.2 	30949.83 
A,FR_LD,THS_T,ES52	: 	: 	: 	11028 	15402 	17110 	17763 	19172 	20416 	20912 	23025 	26259 	26804 	30241 	32378 	34344 	35559 	37260 	42115.53 	42806.02 	45159.74 	41601.37 	42724.68 	43308.8 	44560.08 	40410.32 	37797.8 
A,FR_LD,THS_T,ES53	: 	: 	: 	1741 	1857 	1973 	2330 	2470 	2899 	2801 	893 	810 	669 	651 	747 	915 	1014 	1061 	1015.19 	1167.65 	1167.49 	1224.96 	1215.98 	883.44 	936.28 	1011.23 	1080.76 
A,FR_LD,THS_T,ES6	: 	: 	: 	27372 	28753 	28034 	30435 	34547 	36964 	39753 	40556 	41642 	35414 	37951 	53665 	62743 	59120 	71466 	72838.7 	77581.01 	81971.36 	84806.37 	78256.95 	77883.61 	76562.03 	72824.82 	71825.64 
A,FR_LD,THS_T,ES61	: 	: 	: 	25280 	26446 	26280 	28342 	31968 	33902 	36778 	37898 	37721 	32875 	35609 	49936 	54112 	50641 	61612 	63407.45 	68285.78 	70941.97 	74742.25 	68557.41 	68031.95 	67164.36 	63842.25 	60789.32 
A,FR_LD,THS_T,ES62	: 	: 	: 	1668 	1881 	1284 	1684 	2119 	2577 	2455 	2365 	3503 	2349 	2130 	3500 	8422 	8295 	9664 	9261.32 	9093.46 	10793.38 	9906.25 	9569.76 	9732.5 	9299.67 	8882.36 	10934.77 
A,FR_LD,THS_T,ES63	: 	: 	: 	286 	294 	335 	275 	327 	349 	507 	279 	401 	177 	197 	216 	199 	173 	177 	156.53 	189.16 	217.94 	138.98 	103.87 	93.13 	71.12 	78.99 	81 
A,FR_LD,THS_T,ES64	: 	: 	: 	138 	132 	136 	133 	133 	137 	13 	15 	16 	12 	15 	12 	11 	11 	14 	13.4 	12.62 	18.07 	18.89 	25.92 	26.04 	26.88 	21.22 	20.55 
A,FR_LD,THS_T,ES7	: 	: 	: 	6818 	6990 	7108 	8619 	9697 	10507 	10716 	11288 	11220 	9231 	9460 	10615 	10421 	8925 	8751 	9121.64 	9097.64 	10643.9 	10109.51 	10135.6 	9584.48 	11004.1 	10370.94 	10740.79 
A,FR_LD,THS_T,ES70	: 	: 	: 	6818 	6990 	7108 	8619 	9697 	10507 	10716 	11288 	11220 	9231 	9460 	10615 	10421 	8925 	8751 	9121.64 	9097.64 	10643.9 	10109.51 	10135.6 	9584.48 	11004.1 	10370.94 	10740.79 
A,FR_LD,THS_T,FI	33500 	34980 	35613 	36891 	41997 	44205 	43730 	44772 	41843 	46938 	47753 	49022 	41861 	48465 	51298 	49036 	50231 	51843 	48812.37 	51909.82 	55815.45 	58539.74 	61750.64 	55788.19 	53721.12 	50197.97 	45487.01 
A,FR_LD,THS_T,FI1	32549 	34033 	34610 	35900 	40880 	43165 	42667 	43638 	40887 	46061 	46902 	48214 	41340 	47785 	50558 	48432 	49617 	50797 	47665.67 	51311.79 	55237.57 	58106.48 	61378.14 	55297.02 	53211.37 	50176.36 	45487.01 
A,FR_LD,THS_T,FI19	5877 	6035 	6449 	6610 	6573 	6904 	7003 	7202 	6397 	7068 	7250 	7673 	6291 	6767 	6965 	6618 	6815 	6421 	6497.69 	6570.63 	6977.44 	7911.07 	7613.42 	6052.99 	7315.47 	6418.49 	6082.06 
A,FR_LD,THS_T,FI1B	9808 	10832 	11216 	12299 	14721 	16191 	15875 	16570 	15495 	17698 	18156 	18389 	16056 	17134 	17823 	18005 	18373 	18444 	17695.68 	19922.19 	21045.16 	22310.3 	23909.94 	22530.37 	20614.99 	21408.56 	20402.26 
A,FR_LD,THS_T,FI1C	13017 	12635 	12196 	12278 	14886 	15344 	15046 	14742 	13719 	14343 	14840 	14534 	11745 	15537 	16238 	14528 	14261 	14510 	14845.13 	15086.93 	16589.94 	17485.54 	20439.19 	17705.91 	16388.79 	15766.59 	13291.39 
A,FR_LD,THS_T,FI1D	3847 	4531 	4750 	4713 	4700 	4726 	4743 	5125 	5275 	6952 	6655 	7618 	7248 	8346 	9531 	9282 	10168 	11423 	8627.17 	9732.03 	10625.03 	10399.56 	9415.59 	9007.75 	8892.12 	6582.71 	5711.3 
A,FR_LD,THS_T,FIZ	951 	947 	1003 	992 	1117 	1040 	1063 	1133 	957 	877 	850 	808 	521 	680 	741 	604 	614 	1045 	1146.71 	598.03 	577.88 	433.27 	372.5 	491.17 	509.75 	21.62 	: 
A,FR_LD,THS_T,FIZZ	951 	947 	1003 	992 	1117 	1040 	1063 	1133 	957 	877 	850 	808 	521 	680 	741 	604 	614 	1045 	1146.71 	598.03 	577.88 	433.27 	372.5 	491.17 	509.75 	21.62 	: 
A,FR_LD,THS_T,FR	: 	80338 	83178 	90208 	83700 	83865 	90357 	90655 	95171 	97043 	97333 	101174 	96658 	97064 	98848 	95280 	97049 	96899 	100320.96 	50330.91 	94666.46 	100586.61 	96151.54 	89435.19 	87640.34 	87350.19 	82750.93 
